Transistor,VG,IDS (A),IGS (A),Razão IDS/IGS,Razão on/off,Valor Máximo IDS,Valor Mínimo IDS,Vth (V),a (coef. angular),b (coef. linear)
0,12.0,0.00032067441497929394,4.7373879397127894e-07,676.9013200104007,71128.15929313838,0.0003771120682358742,5.301867389562176e-09,4.6698,0.002764453314099655,-0.012909542169934568
1,12.0,0.00032333008130081,4.6719537749595474e-07,692.0660967019297,103108.84517047938,0.0003770397452171892,3.656715819033707e-09,4.6293,0.0027618543121285494,-0.012785321252186661
2,12.0,0.00032794190337881446,4.4639884322350554e-07,734.6387840315675,83080.28481301873,0.00037988254916854203,4.57247528728999e-09,4.5234,0.0027537829820756033,-0.01245645260813222
3,12.0,0.0003326558507978916,4.351124118784355e-07,764.5285257705568,52399.76935647202,0.0003825160674750805,7.299957083262143e-09,4.4013,0.002735130989893825,-0.012038004745225697
4,12.0,0.000335890450514853,4.221906522161589e-07,795.5895014531948,46228.277148363224,0.00038488893187604845,8.325833356082057e-09,4.3455,0.0027290054835488473,-0.011858908573693643
5,12.0,0.0003371701459400356,4.0550335711486696e-07,831.4854612770206,38003.74888504639,0.000385070190532133,1.013242645342416e-08,4.2622,0.0027040734541914947,-0.011525331300330385
