Time (s)	Vds (V)	Ids (A)	Vgs (V)	Igs (A)
4.9546999999999997E+1	-1.0000000000000000E+0	-3.4204958865302611E-6	-1.7999999523162840E+0	-4.9157740988903242E-8
5.0548000000000002E+1	-1.0000000000000000E+0	-3.9874789763416629E-6	-1.8600000143051150E+0	-5.3054023396725818E-8
5.1546999999999997E+1	-1.0000000000000000E+0	-4.5596207201015204E-6	-1.9199999570846560E+0	-5.7246982265724000E-8
5.2548000000000002E+1	-1.0000000000000000E+0	-5.1328679546713829E-6	-1.9800000190734861E+0	-6.1719873656329582E-8
5.3546999999999997E+1	-1.0000000000000000E+0	-5.7076740631600842E-6	-2.0399999618530269E+0	-6.6398264664258022E-8
5.4548000000000002E+1	-1.0000000000000000E+0	-6.2766921473667034E-6	-2.0999999046325679E+0	-7.1246908817101939E-8
5.5548000000000002E+1	-1.0000000000000000E+0	-6.8405684032768477E-6	-2.1600000858306880E+0	-7.5904630136847117E-8
5.6612999999999999E+1	-1.0000000000000000E+0	-7.4044510256499052E-6	-2.2200000286102290E+0	-8.1574675903084426E-8
5.7548000000000002E+1	-1.0000000000000000E+0	-7.9589635788579471E-6	-2.2799999713897710E+0	-8.7024808692603983E-8
5.8545999999999999E+1	-1.0000000000000000E+0	-8.6688041847082786E-6	-2.3399999141693120E+0	-8.9621046583943098E-8
6.0575000000000003E+1	-1.0000000000000000E+0	-9.2177151600481011E-6	-2.4000000953674321E+0	-9.6261167925604240E-8
6.1545999999999999E+1	-1.0000000000000000E+0	-9.7551983344601467E-6	-2.4600000381469731E+0	-1.0432195551857150E-7
6.2564999999999998E+1	-1.0000000000000000E+0	-1.0303401722921990E-5	-2.5199999809265141E+0	-1.0954141771435390E-7
6.3564000000000000E+1	-1.0000000000000000E+0	-1.0276889952365311E-5	-2.4600000381469731E+0	-9.1648722388981696E-8
6.4564999999999998E+1	-1.0000000000000000E+0	-1.0045575436379290E-5	-2.4000000953674321E+0	-8.2521964372972434E-8
6.5549000000000007E+1	-1.0000000000000000E+0	-9.7560096037341282E-6	-2.3399999141693120E+0	-7.2992946797967306E-8
6.6563999999999993E+1	-1.0000000000000000E+0	-9.4615552370669320E-6	-2.2799999713897710E+0	-6.4109812569768110E-8
6.7548000000000002E+1	-1.0000000000000000E+0	-9.1041965788463131E-6	-2.2200000286102290E+0	-5.6099032974543661E-8
6.8546999999999997E+1	-1.0000000000000000E+0	-8.7159205577336252E-6	-2.1600000858306880E+0	-4.8676540131964430E-8
6.9548000000000002E+1	-1.0000000000000000E+0	-8.2841434050351381E-6	-2.0999999046325679E+0	-4.1789256499669143E-8
7.0548000000000002E+1	-1.0000000000000000E+0	-7.8259890869958326E-6	-2.0399999618530269E+0	-3.5333645342916497E-8
7.1548000000000002E+1	-1.0000000000000000E+0	-7.3295318543387111E-6	-1.9800000190734861E+0	-2.9850234284367623E-8
7.2614000000000004E+1	-1.0000000000000000E+0	-6.8017598096048459E-6	-1.9199999570846560E+0	-2.3809707982991309E-8
7.3546999999999997E+1	-1.0000000000000000E+0	-6.2475369304593187E-6	-1.8600000143051150E+0	-1.8782330357680621E-8
7.4548000000000002E+1	-1.0000000000000000E+0	-5.6759604376566131E-6	-1.7999999523162840E+0	-1.4145636662021840E-8
7.5546000000000006E+1	-1.0000000000000000E+0	-5.0902854127343744E-6	-1.7400000095367429E+0	-9.9851371615500284E-9
7.6546000000000006E+1	-1.0000000000000000E+0	-4.5031083573121578E-6	-1.6799999475479130E+0	-6.3138605455037577E-9
7.7546000000000006E+1	-1.0000000000000000E+0	-3.9243122955667786E-6	-1.6200000047683720E+0	-3.0428528585702001E-9
7.8546000000000006E+1	-1.0000000000000000E+0	-3.3813321351772170E-6	-1.5599999427795410E+0	-9.4616414703097007E-10
8.0161000000000001E+1	-1.0000000000000000E+0	-2.9017530778219221E-6	-1.5000000000000000E+0	3.2361506807632172E-9
8.0546999999999997E+1	-1.0000000000000000E+0	-2.3927545953483791E-6	-1.4400000572204590E+0	4.4138075416810807E-9
8.1569000000000003E+1	-1.0000000000000000E+0	-1.9708120362338381E-6	-1.3799999952316280E+0	6.5781353697502709E-9
8.2549000000000007E+1	-1.0000000000000000E+0	-1.6093050589915949E-6	-1.3200000524520870E+0	8.3179472198935400E-9
8.3549000000000007E+1	-1.0000000000000000E+0	-1.3054703913439880E-6	-1.2599999904632571E+0	1.0060357880092850E-8
8.4546999999999997E+1	-1.0000000000000000E+0	-1.0531771295063659E-6	-1.2000000476837160E+0	1.1852812953350170E-8
8.5548000000000002E+1	-1.0000000000000000E+0	-8.4403143318922958E-7	-1.1399999856948850E+0	1.3541651355808429E-8
8.6563999999999993E+1	-1.0000000000000000E+0	-6.8267809183453210E-7	-1.0800000429153440E+0	1.5804422659471129E-8
8.7548000000000002E+1	-1.0000000000000000E+0	-5.5039259905242943E-7	-1.0199999809265139E+0	1.7714524958023500E-8
