Time (s),Vds (V),IDS,VG,IGS,cycle_id,diff_VG,direction,log_IDS
146.547,-1.0,6.48172374440037e-07,-1.379999995231628,-3.013573746102338e-08,1,-0.059999942779541016,ida,-6.188309482843953
147.548,-1.0,8.958530202107796e-07,-1.440000057220459,-3.210204724268806e-08,1,-0.06000006198883101,ida,-6.04776323782395
148.547,-1.0,1.2121116697016987e-06,-1.5,-3.407044601999587e-08,1,-0.059999942779541016,ida,-5.916457367544997
149.565,-1.0,1.57853116888873e-06,-1.559999942779541,-3.675544135717246e-08,1,-0.059999942779541016,ida,-5.801746838324986
150.547,-1.0,2.017443193835788e-06,-1.620000004768372,-3.94382482227229e-08,1,-0.06000006198883101,ida,-5.695198685082216
151.548,-1.0,2.514808102205279e-06,-1.679999947547913,-4.195983294152938e-08,1,-0.059999942779541016,ida,-5.599495149110233
152.618,-1.0,3.056458126593498e-06,-1.7400000095367427,-4.562599542623502e-08,1,-0.06000006198882968,ida,-5.514781549657925
153.547,-1.0,3.6306939819041864e-06,-1.799999952316284,-4.896649130614605e-08,1,-0.05999994277954124,ida,-5.440010354659438
154.566,-1.0,4.2239271351718335e-06,-1.8600000143051152,-5.3099405761258816e-08,1,-0.06000006198883123,ida,-5.374283582203823
155.548,-1.0,4.8213682930509086e-06,-1.919999957084656,-5.7292950828014e-08,1,-0.059999942779540794,ida,-5.316829692509823
156.548,-1.0,5.588417934632162e-06,-1.980000019073486,-5.878291275962511e-08,1,-0.06000006198883012,ida,-5.252711122257693
158.615,-1.0,6.167783794808201e-06,-2.039999961853027,-6.432888710605766e-08,1,-0.059999942779540794,ida,-5.20987085842783
159.548,-1.0,6.752974968549097e-06,-2.099999904632568,-6.956594944540484e-08,1,-0.059999942779541016,ida,-5.170504860088961
160.549,-1.0,7.329753316298592e-06,-2.160000085830688,-7.491064479836494e-08,1,-0.06000018119812012,ida,-5.134910641344284
161.548,-1.0,7.904860467533581e-06,-2.2200000286102286,-8.035986809318274e-08,1,-0.05999994277954057,ida,-5.1021057916033765
162.548,-1.0,8.467260158795396e-06,-2.2799999713897714,-8.597651657282766e-08,1,-0.05999994277954279,ida,-5.072257096211163
