Time (s),Vds (V),IDS,VG,IGS,cycle_id,diff_VG,direction,log_IDS
96.563,-1.0,6.326008161749996e-08,-0.47999998927116394,3.782271207342092e-08,0,0.06000003218650818,volta,-7.198870252097707
97.547,-1.0,3.8077569541883356e-08,-0.4199999868869781,3.513399349230895e-08,0,0.060000002384185847,volta,-7.419330780041627
99.725,-1.0,2.795164633084823e-08,-0.3600000143051147,3.771383916273408e-08,0,0.0599999725818634,volta,-7.553592607407393
100.547,-1.0,1.975579344559719e-08,-0.300000011920929,3.895037181678163e-08,0,0.06000000238418568,volta,-7.704305523202244
101.549,-1.0,1.434828078572536e-08,-0.239999994635582,4.001749687176925e-08,0,0.06000001728534701,volta,-7.843200133076505
102.547,-1.0,1.122304205125602e-08,-0.1800000071525574,4.092649419362715e-08,0,0.0599999874830246,volta,-7.94988940983503
103.548,-1.0,9.809875578525858e-09,-0.119999997317791,4.1429245811741566e-08,0,0.0600000098347664,volta,-8.008336500866974
104.614,-1.0,9.548079660248732e-09,-0.059999998658895486,4.268915532179562e-08,0,0.05999999865889551,volta,-8.0200839663031
105.548,-1.0,9.929096655980626e-09,0.0,4.353940497026088e-08,0,0.059999998658895486,volta,-8.003090261592106
106.547,-1.0,1.058901588635308e-08,0.059999998658895486,4.429948319284449e-08,0,0.059999998658895486,volta,-7.975144400136733
107.548,-1.0,1.13428590964304e-08,0.119999997317791,4.4990624559204655e-08,0,0.05999999865889551,volta,-7.945277462788898
108.547,-1.0,1.2136292859565861e-08,0.1800000071525574,4.546496867874338e-08,0,0.0600000098347664,volta,-7.91591395218187
109.548,-1.0,1.301112195761789e-08,0.239999994635582,4.57057360847557e-08,0,0.0599999874830246,volta,-7.885685252324394
110.546,-1.0,1.403170823977007e-08,0.300000011920929,4.5647585267261086e-08,0,0.06000001728534701,volta,-7.852889454135904
111.546,-1.0,1.529076065764912e-08,0.3600000143051147,4.54549784478786e-08,0,0.06000000238418568,volta,-7.815570909538454
112.546,-1.0,1.683143402431142e-08,0.4199999868869781,4.5448185659324736e-08,0,0.0599999725818634,volta,-7.773878880915794
113.546,-1.0,1.8764817255600967e-08,0.47999998927116394,4.590251378999711e-08,0,0.060000002384185847,volta,-7.726655660681783
114.547,-1.0,2.114431829625119e-08,0.5400000214576721,4.69332945840506e-08,0,0.06000003218650818,volta,-7.674806312169903
167.547,-1.0,1.06575243989937e-05,-2.4600000381469727,-9.228518393911146e-08,1,0.05999994277954146,volta,-4.972343664419869
168.631,-1.0,1.0429524991195652e-05,-2.400000095367432,-8.264000683766427e-08,1,0.05999994277954057,volta,-4.981735470902357
169.548,-1.0,1.015536781778792e-05,-2.339999914169312,-7.285601100193162e-08,1,0.06000018119812012,volta,-4.993304342240192
170.55,-1.0,9.829015652940145e-06,-2.2799999713897714,-6.420052045541524e-08,1,0.05999994277954057,volta,-5.007489973307429
171.566,-1.0,9.490267984801903e-06,-2.2200000286102286,-5.5986834723853456e-08,1,0.05999994277954279,volta,-5.0227215238553775
172.549,-1.0,9.083534678211437e-06,-2.160000085830688,-4.850614132578812e-08,1,0.05999994277954057,volta,-5.041745121464757
173.547,-1.0,8.643561159260571e-06,-2.099999904632568,-4.161132594049377e-08,1,0.06000018119812012,volta,-5.063307290718643
174.548,-1.0,8.160044671967626e-06,-2.039999961853027,-3.520619884511689e-08,1,0.059999942779541016,volta,-5.088307463704971
175.548,-1.0,7.64294327382231e-06,-1.980000019073486,-2.934331888582165e-08,1,0.059999942779540794,volta,-5.116739363751068
176.548,-1.0,7.165161150624044e-06,-1.919999957084656,-2.4484121396994848e-08,1,0.06000006198883012,volta,-5.144774037501146
178.253,-1.0,6.566538559127366e-06,-1.8600000143051152,-1.771178226306347e-08,1,0.059999942779540794,volta,-5.182663501188544
178.55,-1.0,5.913590030104388e-06,-1.799999952316284,-1.382225800483639e-08,1,0.06000006198883123,volta,-5.228148786985248
179.551,-1.0,5.308291747496696e-06,-1.7400000095367427,-9.697497027616462e-09,1,0.05999994277954124,volta,-5.275045216017478
180.546,-1.0,4.695662028098012e-06,-1.679999947547913,-6.060040025346324e-09,1,0.06000006198882968,volta,-5.328303169131437
181.546,-1.0,4.09372796639218e-06,-1.620000004768372,-2.8297544307775975e-09,1,0.059999942779541016,volta,-5.387881020154229
182.547,-1.0,3.520471864248975e-06,-1.559999942779541,7.907152016484174e-11,1,0.06000006198883101,volta,-5.453399122230612
183.546,-1.0,2.979063992825104e-06,-1.5,1.994848286557271e-09,1,0.059999942779541016,volta,-5.525920167670379
184.613,-1.0,2.485800905560609e-06,-1.440000057220459,4.846572920769177e-09,1,0.059999942779541016,volta,-5.6045336581074645
185.548,-1.0,2.050906459771795e-06,-1.379999995231628,6.629288229476059e-09,1,0.06000006198883101,volta,-5.688054147009179
186.549,-1.0,1.674406462370825e-06,-1.320000052452087,8.461701561657263e-09,1,0.059999942779541016,volta,-5.77613910850682
187.55,-1.0,1.357856945105596e-06,-1.2599999904632573,1.022651208160141e-08,1,0.06000006198882968,volta,-5.867145982061284
188.548,-1.0,1.094505705623305e-06,-1.200000047683716,1.200666410738904e-08,1,0.05999994277954124,volta,-5.960781970126877
189.549,-1.0,8.767171948420583e-07,-1.139999985694885,1.372463742654872e-08,1,0.06000006198883101,volta,-6.057140475649618
190.566,-1.0,7.093559588611242e-07,-1.080000042915344,1.588486497894337e-08,1,0.059999942779541016,volta,-6.149135778673962
191.547,-1.0,5.431930958366138e-07,-1.019999980926514,1.784751368916204e-08,1,0.06000006198883012,volta,-6.265045758718564
192.548,-1.0,4.2609454453668155e-07,-0.959999978542328,2.031976009675418e-08,1,0.0600000023841859,volta,-6.370494026214432
193.548,-1.0,3.6122571600571973e-07,-0.8999999761581422,2.331610993167033e-08,1,0.06000000238418579,volta,-6.44222133941659
194.549,-1.0,2.937905776434491e-07,-0.8399999737739563,2.573397139826739e-08,1,0.0600000023841859,volta,-6.5319621368748155
195.549,-1.0,2.3620569322702073e-07,-0.7799999713897705,2.2935914500976647e-08,1,0.06000000238418579,volta,-6.626709638867799
197.796,-1.0,1.7493891846243062e-07,-0.7200000286102295,2.7693236148707e-08,1,0.059999942779541016,volta,-6.757113562772634
198.546,-1.0,1.374516500618483e-07,-0.6600000262260437,3.0323697330914e-08,1,0.06000000238418579,volta,-6.861850042226812
199.549,-1.0,1.0660803440032401e-07,-0.6000000238418579,3.247911806170123e-08,1,0.06000000238418579,volta,-6.972210063937596
200.614,-1.0,7.889697428709042e-08,-0.5400000214576721,3.480424837221108e-08,1,0.06000000238418579,volta,-7.102939651741368
201.563,-1.0,6.085574710823494e-08,-0.47999998927116394,3.676014159736951e-08,1,0.06000003218650818,volta,-7.215698401500742
202.548,-1.0,4.455009872117444e-08,-0.4199999868869781,3.833030604027954e-08,1,0.060000002384185847,volta,-7.351151329247448
203.547,-1.0,3.188713648683006e-08,-0.3600000143051147,3.9574754140403456e-08,1,0.0599999725818634,volta,-7.496384479308493
204.549,-1.0,2.2556376322313554e-08,-0.300000011920929,4.056272473462741e-08,1,0.06000000238418568,volta,-7.646730668413316
205.55,-1.0,1.622405143564265e-08,-0.239999994635582,4.136656528430649e-08,1,0.06000001728534701,volta,-7.789840685486529
206.55,-1.0,1.242176317362009e-08,-0.1800000071525574,4.211761961414595e-08,1,0.0599999874830246,volta,-7.905816755026905
207.548,-1.0,1.0520530224766841e-08,-0.119999997317791,4.2866563632060206e-08,1,0.0600000098347664,volta,-7.977962371599816
208.549,-1.0,9.965825498170487e-09,-0.059999998658895486,4.3650555170415835e-08,1,0.05999999865889551,volta,-8.00148672160457
209.547,-1.0,1.016749173743392e-08,0.0,4.438092915393099e-08,1,0.059999998658895486,volta,-7.992786171850674
210.548,-1.0,1.074978150938932e-08,0.059999998658895486,4.507904094452897e-08,1,0.059999998658895486,volta,-7.968600362746597
211.548,-1.0,1.146154460229809e-08,0.119999997317791,4.567158384816139e-08,1,0.05999999865889551,volta,-7.940756851212248
212.549,-1.0,1.2244582237030948e-08,0.1800000071525574,4.609460901860984e-08,1,0.0600000098347664,volta,-7.912056027627649
213.547,-1.0,1.3117933406192612e-08,0.239999994635582,4.618415871959769e-08,1,0.0599999874830246,volta,-7.8821345781448
214.55,-1.0,1.423738016370635e-08,0.300000011920929,4.603233350053415e-08,1,0.06000001728534701,volta,-7.846569918362191
215.549,-1.0,1.530214532863283e-08,0.3600000143051147,4.009670107052443e-08,1,0.06000000238418568,volta,-7.815247677739751
217.76,-1.0,1.704114716005733e-08,0.4199999868869781,4.23688888417928e-08,1,0.0599999725818634,volta,-7.768501173154206
218.546,-1.0,1.908943758621717e-08,0.47999998927116394,4.363890937497672e-08,1,0.060000002384185847,volta,-7.719206866619455
219.549,-1.0,2.160843592946549e-08,0.5400000214576721,4.536022046863764e-08,1,0.06000003218650818,volta,-7.665376667257682
272.547,-1.0,1.09328984763124e-05,-2.4600000381469727,-9.303350623213193e-08,2,0.05999994277954146,volta,-4.961264684766561
273.565,-1.0,1.070036887540482e-05,-2.400000095367432,-8.337826784554637e-08,2,0.05999994277954057,volta,-4.970601250558577
274.549,-1.0,1.058677389664808e-05,-2.339999914169312,-7.284326386525208e-08,2,0.06000018119812012,volta,-4.975236362115103
276.564,-1.0,1.024694392981473e-05,-2.2799999713897714,-6.383848472069076e-08,2,0.05999994277954057,volta,-4.9894056402001
277.549,-1.0,9.858907105808612e-06,-2.2200000286102286,-5.590041851633032e-08,2,0.05999994277954279,volta,-5.006171225446546
278.634,-1.0,9.44879593589576e-06,-2.160000085830688,-4.822201660203973e-08,2,0.05999994277954057,volta,-5.024623530296322
279.549,-1.0,8.983525731309783e-06,-2.099999904632568,-4.132030184678114e-08,2,0.06000018119812012,volta,-5.046553183918456
280.549,-1.0,8.486200385959819e-06,-2.039999961853027,-3.535826209599692e-08,2,0.059999942779541016,volta,-5.071286717385676
281.615,-1.0,7.951170118758457e-06,-1.980000019073486,-2.888683070523257e-08,2,0.059999942779540794,volta,-5.09956895452268
282.548,-1.0,7.382232979580294e-06,-1.919999957084656,-2.331613302430924e-08,2,0.06000006198883012,volta,-5.13181225280746
283.549,-1.0,6.784634479117813e-06,-1.8600000143051152,-1.824327711119622e-08,2,0.059999942779540794,volta,-5.1684735449059716
284.549,-1.0,6.164830665511545e-06,-1.799999952316284,-1.35928033273558e-08,2,0.06000006198883123,volta,-5.210078848029147
285.548,-1.0,5.530111593543552e-06,-1.7400000095367427,-9.42705913331565e-09,2,0.05999994277954124,volta,-5.257266104866877
286.548,-1.0,4.894714038528036e-06,-1.679999947547913,-5.71781422209483e-09,2,0.06000006198882968,volta,-5.310272675692719
287.547,-1.0,4.26838050771039e-06,-1.620000004768372,-2.4713515678342897e-09,2,0.059999942779541016,volta,-5.369736872042095
288.547,-1.0,3.6651288155553634e-06,-1.559999942779541,3.427386430221445e-10,2,0.06000006198883101,volta,-5.435910756929604
289.548,-1.0,3.102600430793245e-06,-1.5,2.8047084654758687e-09,2,0.059999942779541016,volta,-5.508274151542889
290.548,-1.0,2.590776603028644e-06,-1.440000057220459,4.969108235997055e-09,2,0.059999942779541016,volta,-5.586570033658223
291.549,-1.0,2.138245008609374e-06,-1.379999995231628,6.9300294391894105e-09,2,0.06000006198883101,volta,-5.669942533088592
292.549,-1.0,1.746841576277802e-06,-1.320000052452087,8.726167344264011e-09,2,0.059999942779541016,volta,-5.757746480058948
293.553,-1.0,1.4150786000755027e-06,-1.2599999904632573,1.045947062294772e-08,2,0.06000006198882968,volta,-5.849219436725538
294.55,-1.0,1.119513513003767e-06,-1.200000047683716,1.079710720830462e-08,2,0.05999994277954124,volta,-5.9509706599343914
296.199,-1.0,9.272964121009865e-07,-1.139999985694885,1.48308396674679e-08,2,0.06000006198883101,volta,-6.032781420587741
296.565,-1.0,7.42820475352346e-07,-1.080000042915344,1.620736078677965e-08,2,0.059999942779541016,volta,-6.129116133728727
297.624,-1.0,5.997967491566669e-07,-1.019999980926514,1.8850029093187e-08,2,0.06000006198883012,volta,-6.221995892406347
298.547,-1.0,4.839394023292698e-07,-0.959999978542328,2.1265137206682994e-08,2,0.0600000023841859,volta,-6.315209016210204
299.548,-1.0,3.9082013358893164e-07,-0.8999999761581422,2.3715079677799615e-08,2,0.06000000238418579,volta,-6.408023071152488
300.549,-1.0,3.1489443585996924e-07,-0.8399999737739563,2.620867434188767e-08,2,0.0600000023841859,volta,-6.501835013217573
301.548,-1.0,2.523281636968023e-07,-0.7799999713897705,2.861245818053249e-08,2,0.06000000238418579,volta,-6.598034272845552
302.548,-1.0,2.006847807933809e-07,-0.7200000286102295,3.086226030291073e-08,2,0.059999942779541016,volta,-6.697485561583625
303.55,-1.0,1.5813911602435843e-07,-0.6600000262260437,3.304317175434335e-08,2,0.06000000238418579,volta,-6.800960693177421
304.546,-1.0,1.2221634904108214e-07,-0.6000000238418579,3.481918753323043e-08,2,0.06000000238418579,volta,-6.912870694065665
305.61,-1.0,9.146264545734083e-08,-0.5400000214576721,3.691235761493772e-08,2,0.06000000238418579,volta,-7.038756241279089
306.563,-1.0,7.105219168579424e-08,-0.47999998927116394,3.8721776007832887e-08,2,0.06000003218650818,volta,-7.148422521221859
307.547,-1.0,5.2395748184608244e-08,-0.4199999868869781,4.020639821078476e-08,2,0.060000002384185847,volta,-7.280703953758302
308.547,-1.0,3.783680213587104e-08,-0.3600000143051147,4.1446696741331834e-08,2,0.0599999725818634,volta,-7.422085576113608
309.548,-1.0,2.6841748379524688e-08,-0.300000011920929,4.244913043294218e-08,2,0.06000000238418568,volta,-7.5711891991271205
310.548,-1.0,1.916824565739716e-08,-0.239999994635582,4.320089885823108e-08,2,0.06000001728534701,volta,-7.7174176334013636
311.55,-1.0,1.431562957066035e-08,-0.1800000071525574,4.391318597640748e-08,2,0.0599999874830246,volta,-7.8441895478832855
312.548,-1.0,1.163078522381511e-08,-0.119999997317791,4.418798837946269e-08,2,0.0600000098347664,volta,-7.934390963959583
313.613,-1.0,9.50276834998931e-09,-0.059999998658895486,4.019443977654191e-08,2,0.05999999865889551,volta,-8.02214985744977
315.776,-1.0,1.005300287459931e-08,0.0,4.27449826645443e-08,2,0.059999998658895486,volta,-7.997704193260998
316.548,-1.0,1.065748911344144e-08,0.059999998658895486,4.379777962526532e-08,2,0.059999998658895486,volta,-7.9723451023097045
317.549,-1.0,1.141093974865726e-08,0.119999997317791,4.4708585278385726e-08,2,0.05999999865889551,volta,-7.942678587759693
318.547,-1.0,1.2215387812375408e-08,0.1800000071525574,4.5292164685406526e-08,2,0.0600000098347664,volta,-7.913092740552922
319.548,-1.0,1.3183439229180752e-08,0.239999994635582,4.556221000484584e-08,2,0.0599999874830246,volta,-7.879971278405754
320.546,-1.0,1.4135504322609901e-08,0.300000011920929,4.551850452116923e-08,2,0.06000001728534701,volta,-7.849688692259755
321.546,-1.0,1.544585259694031e-08,0.3600000143051147,4.535473507871757e-08,2,0.06000000238418568,volta,-7.811188114042571
322.547,-1.0,1.704709617911249e-08,0.4199999868869781,4.548786947111694e-08,2,0.0599999725818634,volta,-7.768349588565413
323.546,-1.0,1.9037258880416633e-08,0.47999998927116394,4.608940074035672e-08,2,0.060000002384185847,volta,-7.7203955842503955
324.547,-1.0,2.15057376351524e-08,0.5400000214576721,4.727978719643033e-08,2,0.06000003218650818,volta,-7.667445656788924
377.612,-1.0,1.1360478310962208e-05,-2.4600000381469727,-9.236483577979016e-08,3,0.05999994277954146,volta,-4.94460338311105
378.566,-1.0,1.1106776582892048e-05,-2.400000095367432,-8.283567609623788e-08,3,0.05999994277954057,volta,-4.9544119640460815
379.549,-1.0,1.0803270015458112e-05,-2.339999914169312,-7.301142090909707e-08,3,0.06000018119812012,volta,-4.96644476907632
380.548,-1.0,1.049089405569248e-05,-2.2799999713897714,-6.408418329328924e-08,3,0.05999994277954057,volta,-4.9791874987551425
381.548,-1.0,1.007831087918021e-05,-2.2200000286102286,-5.602703012641541e-08,3,0.05999994277954279,volta,-4.996612249370789
382.551,-1.0,9.633874469727743e-06,-2.160000085830688,-4.866597791419736e-08,3,0.05999994277954057,volta,-5.016199016881844
