Ciclo,VG,IDS (A),IGS (A),Razão IDS/IGS,Razão on/off,direction,Valor Máximo IDS,Valor Mínimo IDS
13,-2.5,1.226886524818838e-05,-1.0271358519275961e-07,-119.4473469615899,881750.1200121895,ida,1.3506995856005228e-05,1.531839412260982e-11
14,-2.5,1.248307216883404e-05,-1.0346222012458381e-07,-120.6534342081832,1348474.1523327597,ida,1.369595520372968e-05,1.015663161213487e-11
15,-2.5,1.260755016119219e-05,-1.0382569115563461e-07,-121.42996613712386,947741.1897322639,ida,1.3839995517628272e-05,1.4603138143165498e-11
16,-2.5,1.2813782632292712e-05,-1.0420739471328491e-07,-122.96423557606842,402230.85583278147,ida,1.4082813322602312e-05,3.501176779052706e-11
17,-2.5,1.312166386924218e-05,-1.023863518412327e-07,-128.15833002419632,7446419.6703955205,ida,1.4380454558704512e-05,1.931190450610298e-12
18,-2.5,1.3197957741795108e-05,-1.0435843478262541e-07,-126.46757082248257,651575.372029033,ida,1.4470636415353512e-05,2.2208691483061038e-11
19,-2.5,1.329566202912247e-05,-1.0505461744969581e-07,-126.55952067493791,1160362.8088082017,ida,1.46763914017356e-05,1.264810565310137e-11
20,-2.5,1.377866192342481e-05,-1.0748398437954173e-07,-128.19269775830352,555671.0480712985,ida,1.50632376971771e-05,2.7108192426905646e-11
21,-2.5,1.388887176290154e-05,-1.0767829650149001e-07,-128.98487637858713,3012761.006384265,ida,1.519200759503292e-05,5.042553180567567e-12
22,-2.5,1.4152061339700588e-05,-1.054415719181634e-07,-134.21709371598195,2616394.1712114173,ida,1.534540569991805e-05,5.865097036511502e-12
23,-2.5,1.4066552466829312e-05,-1.0901606373181491e-07,-129.0319241523318,176296.92907140564,ida,1.54154058691347e-05,8.744001356308928e-11
24,-2.5,1.419984073436353e-05,-1.0845267439663081e-07,-130.93121781794127,409898.2194017428,ida,1.555819471832365e-05,3.795623884639276e-11
