Time (s)	VDS	IDS	VG	IGS
4.0997999999999998E+1	-1.0000000000000000E+0	-2.1583032321359501E-6	-1.2599999904632571E+0	-2.6672697828189481E-8
4.3255000000000003E+1	-1.0000000000000000E+0	-2.7221142318012430E-6	-1.3200000524520870E+0	-3.7873245872788168E-8
4.3997999999999998E+1	-1.0000000000000000E+0	-3.2104383080877601E-6	-1.3799999952316280E+0	-4.2835246460981580E-8
4.4999000000000002E+1	-1.0000000000000000E+0	-3.7167990285524870E-6	-1.4400000572204590E+0	-4.7641943723419899E-8
4.5999000000000002E+1	-1.0000000000000000E+0	-4.2294454942748416E-6	-1.5000000000000000E+0	-5.2274788941986117E-8
4.7000000000000000E+1	-1.0000000000000000E+0	-4.7475050450884737E-6	-1.5599999427795410E+0	-5.5939697318763137E-8
4.8064000000000000E+1	-1.0000000000000000E+0	-5.2605032578867386E-6	-1.6200000047683720E+0	-6.1940966133988695E-8
4.8997999999999998E+1	-1.0000000000000000E+0	-5.7596885199018288E-6	-1.6799999475479130E+0	-6.6981577617752919E-8
4.9999000000000002E+1	-1.0000000000000000E+0	-6.2440203691949137E-6	-1.7400000095367429E+0	-7.2430111686117016E-8
5.0997999999999998E+1	-1.0000000000000000E+0	-6.7128776208846830E-6	-1.7999999523162840E+0	-7.8008483228586556E-8
5.2000000000000000E+1	-1.0000000000000000E+0	-7.1672197918815073E-6	-1.8600000143051150E+0	-8.3916617654722358E-8
5.3000000000000000E+1	-1.0000000000000000E+0	-7.6031433309253771E-6	-1.9199999570846560E+0	-9.0238550853882770E-8
5.3997000000000000E+1	-1.0000000000000000E+0	-8.0359459389001131E-6	-1.9800000190734861E+0	-9.6747221789428295E-8
5.4999000000000002E+1	-1.0000000000000000E+0	-8.4522662291419692E-6	-2.0399999618530269E+0	-1.0521924309614409E-7
5.6014000000000003E+1	-1.0000000000000000E+0	-8.8656152001931332E-6	-2.0999999046325679E+0	-1.1128651777880799E-7
5.6997999999999998E+1	-1.0000000000000000E+0	-9.2712616606149823E-6	-2.1600000858306880E+0	-1.1911451736068559E-7
5.7997999999999998E+1	-1.0000000000000000E+0	-9.6729454526212066E-6	-2.2200000286102290E+0	-1.2750125222282799E-7
5.9017000000000003E+1	-1.0000000000000000E+0	-1.0076844773720950E-5	-2.2799999713897710E+0	-1.3649534480464351E-7
6.0015000000000001E+1	-1.0000000000000000E+0	-1.0453379218233749E-5	-2.3399999141693120E+0	-1.4684212601423499E-7
6.0997000000000000E+1	-1.0000000000000000E+0	-1.0980998922605069E-5	-2.4000000953674321E+0	-1.5454601509645729E-7
6.2991000000000000E+1	-1.0000000000000000E+0	-1.1312436981825160E-5	-2.4600000381469731E+0	-1.6669380897837979E-7
6.4061999999999998E+1	-1.0000000000000000E+0	-1.1621951671259010E-5	-2.5199999809265141E+0	-1.8041657767753350E-7
6.5004999999999995E+1	-1.0000000000000000E+0	-1.1620354598562701E-5	-2.4600000381469731E+0	-1.5664768682199790E-7
6.5997000000000000E+1	-1.0000000000000000E+0	-1.1487257324915840E-5	-2.4000000953674321E+0	-1.4104580259299840E-7
6.6998999999999995E+1	-1.0000000000000000E+0	-1.1297845958324610E-5	-2.3399999141693120E+0	-1.2740552790546639E-7
6.7997000000000000E+1	-1.0000000000000000E+0	-1.1057722076657230E-5	-2.2799999713897710E+0	-1.1504805286222110E-7
6.8998000000000005E+1	-1.0000000000000000E+0	-1.0788046893139841E-5	-2.2200000286102290E+0	-1.0313522835758700E-7
6.9998999999999995E+1	-1.0000000000000000E+0	-1.0493945410416931E-5	-2.1600000858306880E+0	-8.9991651464060851E-8
7.1015000000000000E+1	-1.0000000000000000E+0	-1.0173534974455830E-5	-2.0999999046325679E+0	-8.0418040226959419E-8
7.1997000000000000E+1	-1.0000000000000000E+0	-9.8211658041691408E-6	-2.0399999618530269E+0	-7.0142853303423180E-8
7.3015000000000000E+1	-1.0000000000000000E+0	-9.4773849923512898E-6	-1.9800000190734861E+0	-5.9491146231493992E-8
7.3998000000000005E+1	-1.0000000000000000E+0	-9.0942830865969881E-6	-1.9199999570846560E+0	-4.9652530975663467E-8
7.5000000000000000E+1	-1.0000000000000000E+0	-8.6896634456934407E-6	-1.8600000143051150E+0	-4.0158688818792143E-8
7.5998000000000005E+1	-1.0000000000000000E+0	-8.2567894423846155E-6	-1.7999999523162840E+0	-3.1389355115152278E-8
7.6998999999999995E+1	-1.0000000000000000E+0	-7.7978747867746279E-6	-1.7400000095367429E+0	-2.3244631108809699E-8
7.8135999999999996E+1	-1.0000000000000000E+0	-7.2991870183614083E-6	-1.6799999475479130E+0	-1.5383696094772858E-8
